category,subcategory,period,netsales,qtr,fyr,cyr,end_dt,end_qtr_dt
Import Beer,Asia And South Pacific Beer,FY 2021 Q3,1141080,Q3,2021,2020,12-31,2020-12-31
Import Beer,Asia And South Pacific Beer,FY 2021 Q4,1122806,Q4,2021,2021,03-01,2021-03-01
Import Beer,Asia And South Pacific Beer,FY 2022 Q1,1242337,Q1,2022,2021,06-30,2021-06-30
Import Beer,Europe Beer,FY 2021 Q1,25282565,Q1,2021,2020,06-30,2020-06-30
Import Beer,Europe Beer,FY 2021 Q2,27520449,Q2,2021,2020,09-30,2020-09-30
Import Beer,Europe Beer,FY 2021 Q3,19165293,Q3,2021,2020,12-31,2020-12-31
Import Beer,Europe Beer,FY 2021 Q4,17344171,Q4,2021,2021,03-01,2021-03-01
Import Beer,Europe Beer,FY 2022 Q1,21468330,Q1,2022,2021,06-30,2021-06-30
Import Beer,Mexico And Caribbean Beer,FY 2021 Q1,15495375,Q1,2021,2020,06-30,2020-06-30
Import Beer,Mexico And Caribbean Beer,FY 2021 Q2,18746416,Q2,2021,2020,09-30,2020-09-30
Import Beer,Mexico And Caribbean Beer,FY 2021 Q3,6182590,Q3,2021,2020,12-31,2020-12-31
Import Beer,Mexico And Caribbean Beer,FY 2021 Q4,1808334,Q4,2021,2021,03-01,2021-03-01
Import Beer,Mexico And Caribbean Beer,FY 2022 Q1,3688402,Q1,2022,2021,06-30,2021-06-30
Import Beer,Other Country Beer,FY 2021 Q1,54429,Q1,2021,2020,06-30,2020-06-30
Import Beer,Other Country Beer,FY 2021 Q2,61143,Q2,2021,2020,09-30,2020-09-30
Import Beer,Other Country Beer,FY 2021 Q3,80740,Q3,2021,2020,12-31,2020-12-31
Import Beer,Other Country Beer,FY 2021 Q4,122427,Q4,2021,2021,03-01,2021-03-01
Import Beer,Other Country Beer,FY 2022 Q1,117914,Q1,2022,2021,06-30,2021-06-30
Import Beer,USA Beer,FY 2021 Q1,2361193,Q1,2021,2020,06-30,2020-06-30
Import Beer,USA Beer,FY 2021 Q2,2033265,Q2,2021,2020,09-30,2020-09-30
Import Beer,USA Beer,FY 2021 Q3,1561354,Q3,2021,2020,12-31,2020-12-31
Import Beer,USA Beer,FY 2021 Q4,1610268,Q4,2021,2021,03-01,2021-03-01
Import Beer,USA Beer,FY 2022 Q1,2078638,Q1,2022,2021,06-30,2021-06-30
